Project,Set,File,# of Cells,Total Cell Area,Tissue Area,Normalized (Cell/Tissue)
Ki671,set,166041_001_359.tif,0,0,14.5,0
Ki671,set,166041_001_360.tif,0,0,0,0
Ki671,set,166041_001_361.tif,7,14690.5,155022,0.0947637
Ki671,set,166041_001_362.tif,0,0,33509,0
Ki671,set,166041_001_363.tif,0,0,59619.5,0
Ki671,set,166041_001_364.tif,1,2082.5,93307,0.0223188
Ki671,set,166041_001_365.tif,0,0,11295.5,0
Ki671,set,166041_001_366.tif,0,0,8929.5,0
Ki671,set,166041_001_367.tif,0,0,1703.5,0
Ki671,set,166041_001_368.tif,0,0,11127,0
Ki671,set,166041_001_369.tif,0,0,73367,0
Ki671,set,166041_001_370.tif,2,2343.5,365784,0.00640679
Ki671,set,166041_001_371.tif,0,0,5017,0
Ki671,set,166041_001_372.tif,0,0,1971.5,0
Ki671,set,166041_001_373.tif,0,0,35302,0
Ki671,set,166041_001_374.tif,0,0,56335.5,0
Ki671,set,166041_001_375.tif,0,0,5299.5,0
Ki671,set,166041_001_376.tif,0,0,2158,0
Ki671,set,166041_001_377.tif,0,0,18561.5,0
Ki671,set,166041_001_378.tif,0,0,7444.5,0
Ki671,set,166041_001_379.tif,0,0,43688.5,0
Ki671,set,166041_001_380.tif,0,0,21083,0
Ki671,set,166041_001_381.tif,0,0,32949,0
Ki671,set,166041_001_382.tif,0,0,39732,0
Ki671,set,166041_001_383.tif,0,0,32713.5,0
Ki671,set,166041_001_384.tif,2,2482.5,70898.5,0.0350148
Ki671,set,166041_001_385.tif,0,0,503.5,0
Ki671,set,166041_001_386.tif,4,6686.5,127852,0.0522988
Ki671,set,166041_001_387.tif,0,0,32343,0
Ki671,set,166041_001_388.tif,0,0,21390.5,0
Ki671,set,166041_001_389.tif,0,0,72080,0
Ki671,set,166041_001_390.tif,0,0,24664.5,0
Ki671,set,166041_001_391.tif,0,0,31439,0
Ki671,set,166041_001_392.tif,0,0,13791.5,0
Ki671,set,166041_001_393.tif,0,0,5288.5,0
Ki671,set,166041_001_394.tif,0,0,3331,0
Ki671,set,166041_001_395.tif,0,0,6608.5,0
Ki671,set,166041_001_396.tif,0,0,20102.5,0
Ki671,set,166041_001_397.tif,0,0,7149,0
Ki671,set,166041_001_398.tif,0,0,19390.5,0
Ki671,set,166041_001_399.tif,0,0,64909,0
Ki671,set,166041_001_400.tif,0,0,32190.5,0
Ki671,set,166041_001_401.tif,0,0,40400.5,0
Ki671,set,166041_001_402.tif,4,6217.5,145202,0.0428197
Ki671,set,166041_001_403.tif,0,0,0,0
Ki671,set,166041_001_404.tif,0,0,365.5,0
Ki671,set,166041_001_405.tif,2,2672,89857.5,0.029736
Ki671,set,166041_001_406.tif,0,0,30185,0
Ki671,set,166041_001_407.tif,0,0,30019,0
Ki671,set,166041_001_408.tif,0,0,28210,0
Ki671,set,166041_001_409.tif,0,0,20436,0
Ki671,set,166041_001_410.tif,0,0,16950,0
Ki671,set,166041_001_411.tif,0,0,5817,0
Ki671,set,166041_001_412.tif,0,0,25063.5,0
Ki671,set,166041_001_413.tif,0,0,10417,0
Ki671,set,166041_001_414.tif,0,0,14292.5,0
Ki671,set,166041_001_415.tif,0,0,22726.5,0
Ki671,set,166041_001_416.tif,0,0,16927,0
Ki671,set,166041_001_417.tif,4,5808,66133.5,0.0878224
Ki671,set,166041_001_418.tif,0,0,54199,0
Ki671,set,166041_001_419.tif,4,8602,150417,0.0571877
Ki671,set,166041_001_420.tif,0,0,12142,0
Ki671,set,166041_001_421.tif,0,0,22787.5,0
Ki671,set,166041_001_422.tif,0,0,31853,0
Ki671,set,166041_001_423.tif,0,0,47894,0
Ki671,set,166041_001_424.tif,0,0,12968,0
Ki671,set,166041_001_425.tif,0,0,20377.5,0
Ki671,set,166041_001_426.tif,0,0,15748,0
Ki671,set,166041_001_427.tif,0,0,17426.5,0
Ki671,set,166041_001_428.tif,0,0,38402.5,0
Ki671,set,166041_001_429.tif,0,0,26275.5,0
Ki671,set,166041_001_430.tif,0,0,24916.5,0
Ki671,set,166041_001_431.tif,1,1543.5,63255,0.0244012
Ki671,set,166041_001_432.tif,10,18659.5,214475,0.0870008
Ki671,set,166041_001_433.tif,8,13188,165996,0.0794477
Ki671,set,166041_001_434.tif,3,3658.5,135554,0.0269892
Ki671,set,166041_001_435.tif,0,0,27506.5,0
Ki671,set,166041_001_436.tif,0,0,22661.5,0
Ki671,set,166041_001_437.tif,0,0,26861.5,0
Ki671,set,166041_001_438.tif,0,0,9690,0
Ki671,set,166041_001_439.tif,0,0,28993.5,0
Ki671,set,166041_001_440.tif,0,0,17241,0
